Region,Year,Cases
ANDAMAN AND NICOBAR,2000,0
ANDAMAN AND NICOBAR,2001,0
ANDAMAN AND NICOBAR,2002,0
ANDAMAN AND NICOBAR,2003,0
ANDAMAN AND NICOBAR,2004,0
ANDAMAN AND NICOBAR,2005,0
ANDAMAN AND NICOBAR,2006,0
ANDAMAN AND NICOBAR,2007,0
ANDAMAN AND NICOBAR,2008,0
ANDAMAN AND NICOBAR,2009,0
ANDAMAN AND NICOBAR,2010,25
ANDAMAN AND NICOBAR,2011,6
ANDAMAN AND NICOBAR,2012,19
ANDAMAN AND NICOBAR,2013,0
ANDAMAN AND NICOBAR,2014,0
ANDAMAN AND NICOBAR,2015,153
ANDAMAN AND NICOBAR,2016,92
ANDAMAN AND NICOBAR,2017,18
ANDAMAN AND NICOBAR,2018,49
ANDAMAN AND NICOBAR,2019,168
ANDAMAN AND NICOBAR,2020,98
ANDAMAN AND NICOBAR,2021,175
ANDAMAN AND NICOBAR,2022,1014
ANDAMAN AND NICOBAR,2023,846
ANDAMAN AND NICOBAR,2024,59
ANDHRA PRADESH,2000,5
ANDHRA PRADESH,2001,1
ANDHRA PRADESH,2002,61
ANDHRA PRADESH,2003,95
ANDHRA PRADESH,2004,230
ANDHRA PRADESH,2005,99
ANDHRA PRADESH,2006,197
ANDHRA PRADESH,2007,587
ANDHRA PRADESH,2008,313
ANDHRA PRADESH,2009,1190
ANDHRA PRADESH,2010,776
ANDHRA PRADESH,2011,1209
ANDHRA PRADESH,2012,1734
ANDHRA PRADESH,2013,0
ANDHRA PRADESH,2014,0
ANDHRA PRADESH,2015,3159
ANDHRA PRADESH,2016,3417
ANDHRA PRADESH,2017,4925
ANDHRA PRADESH,2018,4011
ANDHRA PRADESH,2019,5286
ANDHRA PRADESH,2020,925
ANDHRA PRADESH,2021,4760
ANDHRA PRADESH,2022,6391
ANDHRA PRADESH,2023,6453
ANDHRA PRADESH,2024,5555
ARUNACHAL PRADESH,2000,0
ARUNACHAL PRADESH,2001,0
ARUNACHAL PRADESH,2002,0
ARUNACHAL PRADESH,2003,0
ARUNACHAL PRADESH,2004,0
ARUNACHAL PRADESH,2005,0
ARUNACHAL PRADESH,2006,0
ARUNACHAL PRADESH,2007,0
ARUNACHAL PRADESH,2008,0
ARUNACHAL PRADESH,2009,0
ARUNACHAL PRADESH,2010,0
ARUNACHAL PRADESH,2011,0
ARUNACHAL PRADESH,2012,156
ARUNACHAL PRADESH,2013,0
ARUNACHAL PRADESH,2014,0
ARUNACHAL PRADESH,2015,1933
ARUNACHAL PRADESH,2016,13
ARUNACHAL PRADESH,2017,18
ARUNACHAL PRADESH,2018,1
ARUNACHAL PRADESH,2019,123
ARUNACHAL PRADESH,2020,1
ARUNACHAL PRADESH,2021,7
